Using GPU 2
Start training: lr 0.010000, batch size 10
Checkpoint: ../checkpoints/
[23/41] 26800), Loss: 0.035, mAP 91.61%
[23/41] 26900), Loss: 0.054, mAP 93.26%
[23/41] 27000), Loss: 0.056, mAP 94.17%
[23/41] 27100), Loss: 0.027, mAP 95.43%
[23/41] 27200), Loss: 0.030, mAP 92.92%
[23/41] 27300), Loss: 0.055, mAP 91.81%
[23/41] 27400), Loss: 0.089, mAP 94.17%
[23/41] 27500), Loss: 0.076, mAP 93.18%
[23/41] 27600), Loss: 0.048, mAP 94.29%
[24/41] 27700), Loss: 0.062, mAP 94.87%
[24/41] 27800), Loss: 0.059, mAP 95.25%
[24/41] 27900), Loss: 0.052, mAP 94.18%
[24/41] 28000), Loss: 0.121, mAP 95.73%
[24/41] 28100), Loss: 0.038, mAP 94.00%
[24/41] 28200), Loss: 0.101, mAP 94.08%
[24/41] 28300), Loss: 0.071, mAP 93.91%
[24/41] 28400), Loss: 0.062, mAP 91.57%
[24/41] 28500), Loss: 0.089, mAP 93.09%
[24/41] 28600), Loss: 0.046, mAP 92.86%
[24/41] 28700), Loss: 0.085, mAP 93.16%
[24/41] 28800), Loss: 0.045, mAP 93.81%
[25/41] 28900), Loss: 0.030, mAP 93.64%
[25/41] 29000), Loss: 0.024, mAP 94.54%
[25/41] 29100), Loss: 0.086, mAP 93.29%
[25/41] 29200), Loss: 0.051, mAP 93.37%
[25/41] 29300), Loss: 0.102, mAP 94.06%
[25/41] 29400), Loss: 0.081, mAP 94.04%
[25/41] 29500), Loss: 0.036, mAP 93.89%
[25/41] 29600), Loss: 0.064, mAP 92.37%
[25/41] 29700), Loss: 0.118, mAP 91.61%
[25/41] 29800), Loss: 0.101, mAP 93.58%
[25/41] 29900), Loss: 0.096, mAP 90.99%
[25/41] 30000), Loss: 0.053, mAP 93.52%
[26/41] 30100), Loss: 0.018, mAP 94.51%
[26/41] 30200), Loss: 0.029, mAP 93.35%
[26/41] 30300), Loss: 0.092, mAP 90.39%
[26/41] 30400), Loss: 0.087, mAP 94.84%
[26/41] 30500), Loss: 0.062, mAP 94.67%
[26/41] 30600), Loss: 0.065, mAP 95.38%
[26/41] 30700), Loss: 0.066, mAP 94.27%
[26/41] 30800), Loss: 0.014, mAP 93.55%
[26/41] 30900), Loss: 0.049, mAP 92.35%
[26/41] 31000), Loss: 0.082, mAP 91.57%
[26/41] 31100), Loss: 0.028, mAP 92.00%
[26/41] 31200), Loss: 0.052, mAP 94.13%
Saved: ../checkpoints/
TESTING: 31278), mAP 92.64%
[27/41] 31300), Loss: 0.097, mAP 93.46%
[27/41] 31400), Loss: 0.039, mAP 93.45%
[27/41] 31500), Loss: 0.131, mAP 93.04%
[27/41] 31600), Loss: 0.046, mAP 93.44%
[27/41] 31700), Loss: 0.070, mAP 94.31%
[27/41] 31800), Loss: 0.064, mAP 93.33%
[27/41] 31900), Loss: 0.057, mAP 93.24%
[27/41] 32000), Loss: 0.030, mAP 94.88%
[27/41] 32100), Loss: 0.113, mAP 93.30%
[27/41] 32200), Loss: 0.047, mAP 94.25%
[27/41] 32300), Loss: 0.103, mAP 91.72%
[27/41] 32400), Loss: 0.020, mAP 94.20%
[28/41] 32500), Loss: 0.074, mAP 94.08%
[28/41] 32600), Loss: 0.142, mAP 94.95%
[28/41] 32700), Loss: 0.031, mAP 94.05%
[28/41] 32800), Loss: 0.088, mAP 91.99%
[28/41] 32900), Loss: 0.063, mAP 94.31%
[28/41] 33000), Loss: 0.114, mAP 93.44%
[28/41] 33100), Loss: 0.127, mAP 90.79%
[28/41] 33200), Loss: 0.024, mAP 95.14%
[28/41] 33300), Loss: 0.119, mAP 94.39%
[28/41] 33400), Loss: 0.093, mAP 94.54%
[28/41] 33500), Loss: 0.062, mAP 93.39%
[28/41] 33600), Loss: 0.058, mAP 94.82%
[29/41] 33700), Loss: 0.073, mAP 91.26%
[29/41] 33800), Loss: 0.040, mAP 92.18%
[29/41] 33900), Loss: 0.051, mAP 93.03%
[29/41] 34000), Loss: 0.035, mAP 95.64%
[29/41] 34100), Loss: 0.080, mAP 93.89%
[29/41] 34200), Loss: 0.073, mAP 91.66%
[29/41] 34300), Loss: 0.114, mAP 94.70%
[29/41] 34400), Loss: 0.046, mAP 94.28%
[29/41] 34500), Loss: 0.032, mAP 93.76%
[29/41] 34600), Loss: 0.020, mAP 95.95%
[29/41] 34700), Loss: 0.044, mAP 93.40%
[29/41] 34800), Loss: 0.088, mAP 94.01%
[30/41] 34900), Loss: 0.044, mAP 95.43%
[30/41] 35000), Loss: 0.048, mAP 93.11%
[30/41] 35100), Loss: 0.063, mAP 96.98%
[30/41] 35200), Loss: 0.051, mAP 95.46%
[30/41] 35300), Loss: 0.052, mAP 94.47%
[30/41] 35400), Loss: 0.039, mAP 91.97%
[30/41] 35500), Loss: 0.064, mAP 93.70%
[30/41] 35600), Loss: 0.114, mAP 92.45%
[30/41] 35700), Loss: 0.042, mAP 94.32%
[30/41] 35800), Loss: 0.054, mAP 93.16%
[30/41] 35900), Loss: 0.036, mAP 93.89%
[30/41] 36000), Loss: 0.020, mAP 95.50%
[31/41] 36100), Loss: 0.033, mAP 97.10%
[31/41] 36200), Loss: 0.060, mAP 93.11%
[31/41] 36300), Loss: 0.055, mAP 95.35%
[31/41] 36400), Loss: 0.040, mAP 91.49%
[31/41] 36500), Loss: 0.054, mAP 94.86%
[31/41] 36600), Loss: 0.075, mAP 93.50%
[31/41] 36700), Loss: 0.037, mAP 94.35%
[31/41] 36800), Loss: 0.076, mAP 93.73%
[31/41] 36900), Loss: 0.080, mAP 93.44%
[31/41] 37000), Loss: 0.073, mAP 91.50%
[31/41] 37100), Loss: 0.069, mAP 94.18%
[31/41] 37200), Loss: 0.076, mAP 92.56%
Saved: ../checkpoints/
TESTING: 37293), mAP 92.55%
[32/41] 37300), Loss: 0.068, mAP 93.21%
[32/41] 37400), Loss: 0.060, mAP 93.77%
[32/41] 37500), Loss: 0.051, mAP 94.46%
[32/41] 37600), Loss: 0.014, mAP 95.36%
[32/41] 37700), Loss: 0.090, mAP 93.11%
[32/41] 37800), Loss: 0.039, mAP 93.69%
[32/41] 37900), Loss: 0.021, mAP 95.48%
[32/41] 38000), Loss: 0.032, mAP 95.20%
[32/41] 38100), Loss: 0.030, mAP 94.00%
[32/41] 38200), Loss: 0.050, mAP 93.27%
[32/41] 38300), Loss: 0.048, mAP 93.14%
[32/41] 38400), Loss: 0.032, mAP 92.88%
[33/41] 38500), Loss: 0.068, mAP 94.40%
[33/41] 38600), Loss: 0.031, mAP 93.76%
[33/41] 38700), Loss: 0.055, mAP 92.65%
[33/41] 38800), Loss: 0.056, mAP 93.02%
[33/41] 38900), Loss: 0.076, mAP 93.42%
[33/41] 39000), Loss: 0.085, mAP 92.62%
[33/41] 39100), Loss: 0.103, mAP 94.28%
[33/41] 39200), Loss: 0.042, mAP 93.66%
[33/41] 39300), Loss: 0.075, mAP 94.55%
[33/41] 39400), Loss: 0.042, mAP 93.81%
[33/41] 39500), Loss: 0.022, mAP 95.63%
[33/41] 39600), Loss: 0.096, mAP 92.13%
[34/41] 39700), Loss: 0.038, mAP 96.25%
[34/41] 39800), Loss: 0.063, mAP 94.95%
[34/41] 39900), Loss: 0.048, mAP 94.95%
[34/41] 40000), Loss: 0.037, mAP 95.45%
[34/41] 40100), Loss: 0.060, mAP 96.01%
[34/41] 40200), Loss: 0.065, mAP 93.14%
[34/41] 40300), Loss: 0.037, mAP 93.52%
[34/41] 40400), Loss: 0.047, mAP 95.03%
[34/41] 40500), Loss: 0.037, mAP 93.88%
[34/41] 40600), Loss: 0.040, mAP 94.54%
[34/41] 40700), Loss: 0.070, mAP 95.92%
[34/41] 40800), Loss: 0.044, mAP 93.86%
[34/41] 40900), Loss: 0.071, mAP 93.82%
[35/41] 41000), Loss: 0.066, mAP 94.76%
[35/41] 41100), Loss: 0.039, mAP 94.17%
[35/41] 41200), Loss: 0.066, mAP 92.79%
[35/41] 41300), Loss: 0.060, mAP 94.31%
[35/41] 41400), Loss: 0.062, mAP 92.47%
[35/41] 41500), Loss: 0.089, mAP 94.46%
[35/41] 41600), Loss: 0.027, mAP 94.01%
[35/41] 41700), Loss: 0.064, mAP 93.71%
[35/41] 41800), Loss: 0.081, mAP 93.63%
[35/41] 41900), Loss: 0.098, mAP 93.96%
[35/41] 42000), Loss: 0.092, mAP 93.29%
[35/41] 42100), Loss: 0.050, mAP 93.98%
[36/41] 42200), Loss: 0.031, mAP 94.06%
[36/41] 42300), Loss: 0.024, mAP 92.01%
[36/41] 42400), Loss: 0.037, mAP 94.84%
[36/41] 42500), Loss: 0.077, mAP 94.06%
[36/41] 42600), Loss: 0.042, mAP 95.42%
[36/41] 42700), Loss: 0.085, mAP 94.50%
[36/41] 42800), Loss: 0.068, mAP 92.92%
[36/41] 42900), Loss: 0.018, mAP 91.14%
[36/41] 43000), Loss: 0.082, mAP 94.13%
[36/41] 43100), Loss: 0.095, mAP 94.46%
[36/41] 43200), Loss: 0.054, mAP 94.19%
[36/41] 43300), Loss: 0.044, mAP 95.99%
Saved: ../checkpoints/
TESTING: 43308), mAP 92.53%
[37/41] 43400), Loss: 0.058, mAP 94.11%
[37/41] 43500), Loss: 0.075, mAP 93.64%
[37/41] 43600), Loss: 0.071, mAP 93.73%
[37/41] 43700), Loss: 0.059, mAP 92.84%
[37/41] 43800), Loss: 0.092, mAP 94.93%
[37/41] 43900), Loss: 0.052, mAP 94.78%
[37/41] 44000), Loss: 0.022, mAP 93.17%
[37/41] 44100), Loss: 0.079, mAP 96.78%
[37/41] 44200), Loss: 0.064, mAP 94.08%
[37/41] 44300), Loss: 0.061, mAP 94.29%
[37/41] 44400), Loss: 0.116, mAP 91.87%
[37/41] 44500), Loss: 0.046, mAP 95.19%
[38/41] 44600), Loss: 0.086, mAP 94.16%
[38/41] 44700), Loss: 0.080, mAP 95.04%
[38/41] 44800), Loss: 0.047, mAP 93.78%
[38/41] 44900), Loss: 0.039, mAP 93.20%
[38/41] 45000), Loss: 0.049, mAP 91.83%
[38/41] 45100), Loss: 0.073, mAP 94.61%
[38/41] 45200), Loss: 0.085, mAP 93.92%
[38/41] 45300), Loss: 0.078, mAP 94.11%
[38/41] 45400), Loss: 0.071, mAP 95.37%
[38/41] 45500), Loss: 0.054, mAP 93.36%
[38/41] 45600), Loss: 0.103, mAP 93.95%
