nohup: ignoring input
Using GPU 2
Start training, lr: 0.001000, batch-size: 10
Model: resnet101
Checkpoint Path: ../checkpoints/
Time: 190514_1531
Training from past model: /home/tsinghuaee13/checkpoints/resnet101_190513_1753_036.pth
[32/41] 38400), Loss: 0.051, mAP 97.15%
[33/41] 38500), Loss: 0.027, mAP 95.65%
[33/41] 38600), Loss: 0.058, mAP 94.48%
[33/41] 38700), Loss: 0.030, mAP 95.70%
[33/41] 38800), Loss: 0.051, mAP 94.16%
[33/41] 38900), Loss: 0.035, mAP 95.58%
[33/41] 39000), Loss: 0.073, mAP 96.85%
[33/41] 39100), Loss: 0.027, mAP 96.11%
[33/41] 39200), Loss: 0.031, mAP 95.41%
[33/41] 39300), Loss: 0.043, mAP 96.05%
[33/41] 39400), Loss: 0.047, mAP 94.53%
[33/41] 39500), Loss: 0.074, mAP 95.21%
[33/41] 39600), Loss: 0.063, mAP 94.88%
[34/41] 39700), Loss: 0.028, mAP 99.58%
[34/41] 39800), Loss: 0.012, mAP 94.93%
[34/41] 39900), Loss: 0.055, mAP 96.91%
[34/41] 40000), Loss: 0.022, mAP 97.58%
[34/41] 40100), Loss: 0.054, mAP 95.57%
[34/41] 40200), Loss: 0.037, mAP 94.85%
[34/41] 40300), Loss: 0.041, mAP 96.40%
[34/41] 40400), Loss: 0.027, mAP 95.65%
[34/41] 40500), Loss: 0.036, mAP 96.15%
[34/41] 40600), Loss: 0.023, mAP 96.80%
[34/41] 40700), Loss: 0.057, mAP 95.68%
[34/41] 40800), Loss: 0.060, mAP 96.18%
[34/41] 40900), Loss: 0.025, mAP 92.88%
[35/41] 41000), Loss: 0.083, mAP 96.85%
[35/41] 41100), Loss: 0.046, mAP 94.84%
[35/41] 41200), Loss: 0.045, mAP 97.49%
[35/41] 41300), Loss: 0.062, mAP 95.09%
[35/41] 41400), Loss: 0.095, mAP 94.38%
[35/41] 41500), Loss: 0.042, mAP 98.20%
[35/41] 41600), Loss: 0.023, mAP 95.31%
[35/41] 41700), Loss: 0.069, mAP 94.78%
[35/41] 41800), Loss: 0.032, mAP 92.54%
[35/41] 41900), Loss: 0.019, mAP 96.94%
[35/41] 42000), Loss: 0.074, mAP 95.89%
[35/41] 42100), Loss: 0.054, mAP 96.64%
[36/41] 42200), Loss: 0.055, mAP 93.70%
[36/41] 42300), Loss: 0.043, mAP 97.39%
[36/41] 42400), Loss: 0.034, mAP 96.39%
[36/41] 42500), Loss: 0.044, mAP 94.45%
[36/41] 42600), Loss: 0.087, mAP 94.77%
[36/41] 42700), Loss: 0.028, mAP 95.39%
[36/41] 42800), Loss: 0.088, mAP 95.14%
[36/41] 42900), Loss: 0.048, mAP 95.25%
[36/41] 43000), Loss: 0.075, mAP 93.38%
[36/41] 43100), Loss: 0.013, mAP 96.82%
[36/41] 43200), Loss: 0.033, mAP 95.08%
[36/41] 43300), Loss: 0.089, mAP 95.27%
Saved: ../checkpoints/
TESTING: 43308), mAP 94.00%
[37/41] 43400), Loss: 0.048, mAP 95.82%
[37/41] 43500), Loss: 0.061, mAP 94.79%
[37/41] 43600), Loss: 0.098, mAP 95.42%
[37/41] 43700), Loss: 0.096, mAP 96.46%
[37/41] 43800), Loss: 0.019, mAP 95.85%
[37/41] 43900), Loss: 0.044, mAP 95.92%
[37/41] 44000), Loss: 0.041, mAP 95.33%
[37/41] 44100), Loss: 0.044, mAP 96.49%
[37/41] 44200), Loss: 0.041, mAP 92.84%
[37/41] 44300), Loss: 0.053, mAP 94.72%
[37/41] 44400), Loss: 0.079, mAP 96.02%
[37/41] 44500), Loss: 0.040, mAP 94.04%
[38/41] 44600), Loss: 0.102, mAP 96.42%
[38/41] 44700), Loss: 0.075, mAP 97.30%
[38/41] 44800), Loss: 0.041, mAP 96.69%
[38/41] 44900), Loss: 0.042, mAP 95.48%
[38/41] 45000), Loss: 0.049, mAP 94.45%
[38/41] 45100), Loss: 0.096, mAP 94.43%
[38/41] 45200), Loss: 0.024, mAP 97.58%
[38/41] 45300), Loss: 0.072, mAP 97.15%
[38/41] 45400), Loss: 0.113, mAP 94.65%
[38/41] 45500), Loss: 0.041, mAP 94.12%
[38/41] 45600), Loss: 0.065, mAP 94.18%
[38/41] 45700), Loss: 0.030, mAP 97.37%
[39/41] 45800), Loss: 0.066, mAP 95.24%
[39/41] 45900), Loss: 0.060, mAP 94.99%
[39/41] 46000), Loss: 0.057, mAP 96.13%
[39/41] 46100), Loss: 0.058, mAP 96.01%
[39/41] 46200), Loss: 0.022, mAP 93.40%
[39/41] 46300), Loss: 0.094, mAP 95.04%
[39/41] 46400), Loss: 0.067, mAP 94.96%
[39/41] 46500), Loss: 0.068, mAP 93.31%
[39/41] 46600), Loss: 0.015, mAP 94.12%
[39/41] 46700), Loss: 0.096, mAP 97.29%
[39/41] 46800), Loss: 0.014, mAP 95.66%
[39/41] 46900), Loss: 0.109, mAP 93.99%
[40/41] 47000), Loss: 0.071, mAP 93.23%
[40/41] 47100), Loss: 0.031, mAP 94.45%
[40/41] 47200), Loss: 0.053, mAP 95.38%
[40/41] 47300), Loss: 0.087, mAP 96.06%
[40/41] 47400), Loss: 0.090, mAP 95.61%
[40/41] 47500), Loss: 0.028, mAP 95.35%
[40/41] 47600), Loss: 0.027, mAP 95.44%
[40/41] 47700), Loss: 0.062, mAP 95.93%
[40/41] 47800), Loss: 0.026, mAP 94.35%
[40/41] 47900), Loss: 0.035, mAP 97.60%
[40/41] 48000), Loss: 0.042, mAP 96.00%
[40/41] 48100), Loss: 0.073, mAP 94.28%
[41/41] 48200), Loss: 0.088, mAP 94.03%
[41/41] 48300), Loss: 0.033, mAP 94.90%
[41/41] 48400), Loss: 0.029, mAP 95.39%
[41/41] 48500), Loss: 0.075, mAP 95.75%
[41/41] 48600), Loss: 0.082, mAP 93.17%
[41/41] 48700), Loss: 0.060, mAP 96.74%
